,Name,Description,Address,Neighborhoods,Rental listings,Year built,Structure,Web,Leasing Manager,Manager Phone,Phone
651,234 West 13th Street,234 West 13th Street is a   low-rise  landmark elevator  building.,"234 West 13th Street,  New York, NY 10011","West Village,   Manhattan",1 no-fee ad,1890,5 floors 37 units,,"Gatsby Enterprises, LLC",,
652,234 West 14th Street,234 West 14th Street is a   low-rise  elevator  building.,"234 West 14th Street,  New York, NY 10011","West Village,   Manhattan",3 no-fee ads,1926,5 floors 30 units,,9300 Realty Inc,212-228-9300,
653,235 East 12th Street,235 East 12th Street is a   low-rise  walk-up  building.,"235 East 12th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,5 floors 20 units,,,,
654,235 East 13th Street,235 East 13th Street is a   mid-rise  walk-up  building.   The building's amenities include a laundry.,"235 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),,6 floors 93 units,,Sackman,212-595-5565 main office,
655,235 East 4th Street,235 East 4th Street is a   mid-rise  walk-up  building.,"235 East 4th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1920,6 floors 30 units,,,,
656,235 Elizabeth Street,235 Elizabeth Street is a   mid-rise  walk-up  building.,"235 Elizabeth Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1910,6 floors 27 units,,,,
657,236 East 13th Street,236 East 13th Street is a   mid-rise  walk-up  building.,"236 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 84 units,,Stellar Management,,212-843-3760
658,236 Mulberry Street,236 Mulberry Street is a   low-rise  walk-up  building.,"236 Mulberry Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1901,5 floors 18 units,,"Gatsby Enterprises, LLC",,
659,236 West 10th Street,236 West 10th Street is a   mid-rise  landmark walk-up  building.,"236 West 10th Street,  New York, NY 10014","West Village,   Manhattan",1 no-fee ad,1905,6 floors 33 units,,,,
660,237 East 10th Street,237 East 10th Street is a   mid-rise  elevator  building.,"237 East 10th Street,  New York, NY 10003","East Village,   Manhattan",1 no-fee ad,1920,7 floors 28 units,,,,
661,237 East 2nd Street,237 East 2nd Street is a   low-rise  walk-up  building.,"237 East 2nd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
662,237 East 5th Street,237 East 5th Street is a   mid-rise  landmark walk-up  building.,"237 East 5th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 17 units,,,,
663,237 Eldridge Street,237 Eldridge Street is a   mid-rise  walk-up  building.,"237 Eldridge Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1900,6 floors 40 units,,,,
664,237 Henry Street,237 Henry Street is a   low-rise  walk-up  building.,"237 Henry Street,  New York, NY 10002","Two Bridges,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
665,237 West 10th Street,237 West 10th Street is a   low-rise  landmark walk-up  building.,"237 West 10th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1920,5 floors 20 units,,,,
666,237-241 Sullivan Street,237-241 Sullivan Street is a  mid-twentieth century  low-rise  landmark walk-up  building.,"237 Sullivan Street,  241 Sullivan Street,  New York, NY 10012","Central Village,   Manhattan",1 no-fee ad,1935,4 floors 18 units,,Madison Property Management,212-213-6200,
667,238 West 4th Street,238 West 4th Street is a   low-rise  landmark walk-up  building.     Rent includes heat and hot water.,"238 West 4th Street,  New York, NY 10014","West Village,   Manhattan",1 no-fee ad,1900,5 floors 16 units,,Brodsky Organization,212-315-5555  212-315-5963 fax,
668,239 East 5th Street,239 East 5th Street is a   mid-rise  walk-up  building.,"239 East 5th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1910,6 floors 25 units,,Landmark Resources LLC,212-644-4455,
669,239 Mulberry Street,239 Mulberry Street is a   mid-rise  walk-up  building.,"239 Mulberry Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1910,6 floors 16 units,,,,
670,24 Charles Street,24 Charles Street is a   mid-rise  landmark walk-up  building.,"24 Charles Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1910,6 floors 18 units,,Marin Management,646-278-4656,
671,24 Cornelia Street,24 Cornelia Street is a   low-rise  landmark walk-up  building.,"24 Cornelia Street,  New York, NY 10014","Central Village,   Manhattan",1 fee ad,1920,5 floors 20 units,,,,
672,24 East Broadway,24 East Broadway is a   low-rise  walk-up  building.,"24 East Broadway,  New York, NY 10002","Chinatown,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
673,24 James Street,24 James Street is a   low-rise  walk-up  building.,"24 James Street,  New York, NY 10038","Two Bridges,   Manhattan",(no current listings),1890,5 floors 27 units,,,,
674,24 Jane Street,24 Jane Street is a   low-rise  landmark walk-up  building.,"24 Jane Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,5 floors 17 units,,Icon Realty Management LLC,212-675-7100,
675,24 King Street,24 King Street is a   mid-rise  landmark walk-up  building.,"24 King Street,  New York, NY 10014","Hudson Square, SoHo,   Manhattan",(no current listings),1920,6 floors 24 units,,GPG Management,212-288-1999,
676,24 Mulberry Street,24 Mulberry Street is a   low-rise  walk-up  building.,"24 Mulberry Street,  New York, NY 10013","Chinatown,   Manhattan",(no current listings),1900,5 floors 26 units,,,,
677,24 Saint Marks Place,24 Saint Marks Place is a   mid-rise  walk-up  building.,"24 Saint Marks Place,  New York, NY 10003","East Village,   Manhattan",3 no-fee ads,1900,6 floors 16 units,,,,
678,240 East 13th Street,240 East 13th Street is a   mid-rise  walk-up  building.,"240 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 84 units,,Stellar Management,,212-843-3760
679,240 East 2nd Street,240 East 2nd Street is a   mid-rise  walk-up  building.    The apartments  have  high ceilings.,"240 East 2nd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",1 no-fee ad,1910,6 floors 24 units,,,,
680,240 East 4th Street,240 East 4th Street is a   mid-rise  walk-up  building.,"240 East 4th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,6 floors 25 units,,,,
681,240 Mulberry Street,240 Mulberry Street is a   mid-rise  walk-up  building.,"240 Mulberry Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1901,6 floors 21 units,,,,
682,240 Sullivan Street,240 Sullivan Street is a  turn-of-the-century  mid-rise  walk-up  building.     Rent includes heat and hot water.,"240 Sullivan Street,  New York, NY 10012","Central Village,   Manhattan",(no current listings),1890  (approximate),7 floors 23 units,,Time Equities,212-206-6000,
683,240 Waverly Place,240 Waverly Place is a   mid-rise  landmark elevator  building.,"240 Waverly Place,  New York, NY 10014","West Village,   Manhattan",(no current listings),1916,6 floors 36 units,,,,
684,240 West 10th Street,240 West 10th Street is a   mid-rise  landmark walk-up  building.,"240 West 10th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1901,6 floors 22 units,,,,
685,240 West 4th Street,240 West 4th Street is a   low-rise  landmark walk-up  building.     Rent includes heat and hot water.,"240 West 4th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1900,5 floors 16 units,,Brodsky Organization,212-315-5555  212-315-5963 fax,
686,241 Mulberry Street,241 Mulberry Street is a   mid-rise  walk-up  building.,"241 Mulberry Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1900,6 floors 24 units,,,,
687,241 West 13th Street,241 West 13th Street is a   mid-rise  landmark walk-up  building.,"241 West 13th Street,  New York, NY 10011","West Village,   Manhattan",(no current listings),1904,6 floors 31 units,,,,
688,242 East 10th Street,242 East 10th Street is a   mid-rise  walk-up  building.,"242 East 10th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 30 units,,,,
689,242 East 3rd Street,242 East 3rd Street is a   low-rise  walk-up  building.,"242 East 3rd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1910,5 floors 17 units,,,,
690,242 Mulberry Street,242 Mulberry Street is a   mid-rise  walk-up  building.,"242 Mulberry Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1905,6 floors 21 units,,First Service Residential,,
691,242 West 10th Street,242 West 10th Street is a   mid-rise  landmark walk-up  building.,"242 West 10th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1901,6 floors 22 units,,,,
692,243 East 13th Street,243 East 13th Street is a   mid-rise  walk-up  building.,"243 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,6 floors 18 units,,,,
693,244 East 13th Street,244 East 13th Street is a   mid-rise  walk-up  building.,"244 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 84 units,,Stellar Management,,212-843-3760
694,244 East 7th Street,244 East 7th Street is a   mid-rise  walk-up  building.,"244 East 7th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",1 no-fee ad,1928,6 floors 24 units,,,,
695,244 West 4th Street,244 West 4th Street is a   low-rise  landmark walk-up  building.,"244 West 4th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1920,5 floors 15 units,,,,
696,245 East 11th Street,245 East 11th Street is a  mid-twentieth century  mid-rise  elevator  building.   The building's amenities include a laundry.  The apartments  have  high ceilings.  Rent includes heat.,"245 East 11th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1935,6 floors 57 units,,Brodsky Organization,212-315-5555  212-315-5963 fax,
697,245 East 13th Street,245 East 13th Street is a   mid-rise  walk-up  building.,"245 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,6 floors 24 units,,,,
698,245 East 5th Street,245 East 5th Street is a   mid-rise  landmark walk-up  building.,"245 East 5th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1910,6 floors 25 units,,,,
699,245 Mulberry Street,245 Mulberry Street is a   low-rise  walk-up  building.,"245 Mulberry Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
700,246 East 4th Street,246 East 4th Street is a   mid-rise  walk-up  building.,"246 East 4th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,6 floors 16 units,,,,
701,246 Mott Street,246 Mott Street is a   mid-rise  walk-up  building.,"246 Mott Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1897,6 floors 74 units,,9300 Realty Inc,212-228-9300,
702,247 Broome Street,247 Broome Street is a   low-rise  walk-up  building.,"247 Broome Street,  New York, NY 10002","Chinatown,   Manhattan",1 no-fee ad,1900,5 floors 22 units,,,,
703,247 Mulberry Street,247 Mulberry Street is a   low-rise  walk-up  building.,"247 Mulberry Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1900,5 floors 18 units,,,,
704,247 West 10th Street,247 West 10th Street is a  post-war  low-rise  landmark elevator  building.,"247 West 10th Street,  New York, NY 10014","West Village,   Manhattan",1 fee ad,1949,5 floors 24 units,,,,
705,247 West 11th Street,247 West 11th Street is a   low-rise  landmark walk-up  building.,"247 West 11th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1915,5 floors 23 units,,,,
706,248 Broome Street,248 Broome Street is a   mid-rise  walk-up  building.,"248 Broome Street,  New York, NY 10002","Lower East Side,   Manhattan",1 no-fee ad,1920  (approximate),6 floors 22 units,,,,
707,248 East 2nd Street,248 East 2nd Street is a   low-rise  walk-up  building.,"248 East 2nd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
708,248 East 3rd Street,248 East 3rd Street is a   mid-rise  elevator  building.,"248 East 3rd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1910,6 floors 23 units,,,,
709,248 Mott Street,248 Mott Street is a   mid-rise  walk-up  building.,"248 Mott Street,  New York, NY 10012","NoLiTa,   Manhattan",(no current listings),1897,6 floors 74 units,,9300 Realty Inc,212-228-9300,
710,249 Broome Street,249 Broome Street is a   mid-rise  walk-up  building.,"249 Broome Street,  New York, NY 10002","Chinatown,   Manhattan",3 no-fee ads,1920,7 floors 22 units,,,,
711,249 East 10th Street,249 East 10th Street is a   low-rise  walk-up  building.    The apartments  have  high ceilings.,"249 East 10th Street,  New York, NY 10009","East Village,   Manhattan",1 no-fee ad,1900,5 floors 19 units,,Sky Management,212-759-1300,
712,249 West 11th Street,249 West 11th Street is a   low-rise  landmark walk-up  building.,"249 West 11th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1915,5 floors 16 units,,,,
713,25 Broad at the Exchange,"25 Broad at the Exchange is a  turn-of-the-century  high-rise  landmark doorman elevator  building.   The building's amenities include a laundry, a gym, and a children's play room.  The apartments  have  high ceilings (9' 6"" - 14' 0"").","25 Broad Street,  New York, NY 10004","Financial District,   Manhattan","1 no-fee, 1 fee ads",1901  (approximate),21 floors 308 units,,LCOR,,888-562-9802
714,25 Clinton Street,25 Clinton Street is a   low-rise  walk-up  building.,"25 Clinton Street,  New York, NY 10002","Lower East Side,   Manhattan",3 no-fee ads,1920,5 floors 16 units,,Jakobson Properties,212-533-1300,
